Designator,Footprint,Quantity,Value,LCSC Part #
ANT1,ANT016008LCS2442MA1,1,ANT016008LCS2442MA1,
"C1, C3, C7, C8",0201,4,100nF 10%,
"C10, C11, C12, C13",0805,4,1uF,
"C2, C5",0402,2,10uF 10%,
"C29, C4",0201,2,6.2pF NPO 5%,
"C32, C47, C48",0201,3,12pF NP0 2%,
C33,0201,1,12pF NPO 2%,
C38,0201,1,100nF,
"C39, C43",0201,2,N.C.,
C40,0201,1,100pF,
C41,0201,1,1pF,
"C42, C45",0201,2,820pF,
"C44, C46",0201,2,4.7uF,
C50,0201,1,0.5pF NPO +10%,
C51,0201,1,0.8pF NPO +10%,
C6,0201,1,0.8pF NPO 5%,
C9,0201,1,4.7uF 10%,
IC1,2536030320001,1,2536030320001,
IC2,SON50P201X181X60-7N,1,AP7312-1233FM-7,
"J1, J2",SolderWirePad_1x01_SMD_1x2mm,2,Conn_01x01_Pin,
L5,0402,1,4.7nH 5% HF,
"R1, R3, R7, R9",0201,4,100K 1%,
"R10, R8",0201,2,1K 1%,
R11,0201,1,2R2,
"R5, R6",0201,2,0R 1%,
"U2, U3",ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y,2,WSEN-PADS_2511020213301,
U4,Nordic_AQFN-73-1EP_7x7mm_P0.5mm,1,nRF52840,
X1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,XTAL 32MHz 8pF,
X2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,XTAL 32.768kHz 9pF,
